game_pk,date,away_team,away_score,home_score,home_team
717771,2023-06-14,Milwaukee Brewers,2,4,Minnesota Twins
717767,2023-06-14,San Francisco Giants,8,5,St. Louis Cardinals
717769,2023-06-14,Toronto Blue Jays,3,1,Baltimore Orioles
717768,2023-06-14,Colorado Rockies,3,6,Boston Red Sox
717766,2023-06-14,New York Yankees,3,4,New York Mets
717763,2023-06-14,Pittsburgh Pirates,6,10,Chicago Cubs
717765,2023-06-14,Los Angeles Angels,3,6,Texas Rangers
717764,2023-06-14,Cincinnati Reds,7,4,Kansas City Royals
717762,2023-06-14,Washington Nationals,4,5,Houston Astros
717758,2023-06-14,Cleveland Guardians,0,5,San Diego Padres
717761,2023-06-14,Tampa Bay Rays,6,3,Oakland Athletics
717757,2023-06-14,Philadelphia Phillies,4,3,Arizona Diamondbacks
717759,2023-06-14,Miami Marlins,4,1,Seattle Mariners
717760,2023-06-14,Chicago White Sox,8,4,Los Angeles Dodgers
717753,2023-06-15,Toronto Blue Jays,2,4,Baltimore Orioles
717756,2023-06-15,Tampa Bay Rays,4,3,Oakland Athletics
717755,2023-06-15,Philadelphia Phillies,5,4,Arizona Diamondbacks
717752,2023-06-15,Detroit Tigers,8,4,Minnesota Twins
717754,2023-06-15,Colorado Rockies,3,8,Atlanta Braves
717747,2023-06-15,Pittsburgh Pirates,2,7,Chicago Cubs
717751,2023-06-15,Los Angeles Angels,5,3,Texas Rangers
717746,2023-06-15,Washington Nationals,4,1,Houston Astros
717750,2023-06-15,Cleveland Guardians,8,6,San Diego Padres
717748,2023-06-15,Chicago White Sox,4,5,Los Angeles Dodgers
717744,2023-06-16,Baltimore Orioles,3,10,Chicago Cubs
717749,2023-06-16,Miami Marlins,6,5,Washington Nationals
717743,2023-06-16,St. Louis Cardinals,1,6,New York Mets
717742,2023-06-16,New York Yankees,5,15,Boston Red Sox
717745,2023-06-16,Colorado Rockies,1,8,Atlanta Braves
717741,2023-06-16,Toronto Blue Jays,2,1,Texas Rangers
717737,2023-06-16,Cincinnati Reds,2,1,Houston Astros
717736,2023-06-16,Los Angeles Angels,3,0,Kansas City Royals
717738,2023-06-16,Detroit Tigers,7,1,Minnesota Twins
717740,2023-06-16,Pittsburgh Pirates,4,5,Milwaukee Brewers
717739,2023-06-16,Cleveland Guardians,1,5,Arizona Diamondbacks
717732,2023-06-16,Tampa Bay Rays,6,2,San Diego Padres
717735,2023-06-16,Philadelphia Phillies,6,1,Oakland Athletics
717731,2023-06-16,San Francisco Giants,7,5,Los Angeles Dodgers
717733,2023-06-16,Chicago White Sox,2,3,Seattle Mariners
717728,2023-06-17,Detroit Tigers,0,2,Minnesota Twins
717729,2023-06-17,Baltimore Orioles,2,3,Chicago Cubs
717723,2023-06-17,Toronto Blue Jays,2,4,Texas Rangers
717734,2023-06-17,Miami Marlins,5,2,Washington Nationals
717725,2023-06-17,Philadelphia Phillies,3,2,Oakland Athletics
717727,2023-06-17,Cincinnati Reds,10,3,Houston Astros
717726,2023-06-17,Los Angeles Angels,9,10,Kansas City Royals
717718,2023-06-17,St. Louis Cardinals,5,3,New York Mets
717724,2023-06-17,Colorado Rockies,2,10,Atlanta Braves
717722,2023-06-17,Chicago White Sox,4,3,Seattle Mariners
717720,2023-06-17,Pittsburgh Pirates,0,5,Milwaukee Brewers
717717,2023-06-17,Tampa Bay Rays,0,2,San Diego Padres
717721,2023-06-17,San Francisco Giants,15,0,Los Angeles Dodgers
717719,2023-06-17,Cleveland Guardians,3,6,Arizona Diamondbacks
717708,2023-06-18,Baltimore Orioles,6,3,Chicago Cubs
717716,2023-06-18,Colorado Rockies,6,14,Atlanta Braves
717714,2023-06-18,Miami Marlins,4,2,Washington Nationals
717730,2023-06-18,New York Yankees,2,6,Boston Red Sox
717715,2023-06-18,New York Yankees,1,4,Boston Red Sox
717713,2023-06-18,St. Louis Cardinals,8,7,New York Mets
717707,2023-06-18,Cincinnati Reds,9,7,Houston Astros
717712,2023-06-18,Los Angeles Angels,5,2,Kansas City Royals
717711,2023-06-18,Detroit Tigers,6,4,Minnesota Twins
717710,2023-06-18,Pittsburgh Pirates,2,5,Milwaukee Brewers
717709,2023-06-18,Toronto Blue Jays,7,11,Texas Rangers
717705,2023-06-18,Philadelphia Phillies,3,2,Oakland Athletics
717706,2023-06-18,Cleveland Guardians,12,3,Arizona Diamondbacks
717702,2023-06-18,San Francisco Giants,7,3,Los Angeles Dodgers
717703,2023-06-18,Tampa Bay Rays,4,5,San Diego Padres
717704,2023-06-18,Chicago White Sox,1,5,Seattle Mariners
717699,2023-06-19,St. Louis Cardinals,8,6,Washington Nationals
717692,2023-06-19,Kansas City Royals,4,6,Detroit Tigers
717700,2023-06-19,Toronto Blue Jays,0,11,Miami Marlins
717698,2023-06-19,Chicago Cubs,8,0,Pittsburgh Pirates
717701,2023-06-19,Colorado Rockies,4,5,Cincinnati Reds
717693,2023-06-19,Boston Red Sox,9,3,Minnesota Twins
717694,2023-06-19,New York Mets,11,1,Houston Astros
717695,2023-06-19,Texas Rangers,5,2,Chicago White Sox
717696,2023-06-19,Arizona Diamondbacks,9,1,Milwaukee Brewers
717697,2023-06-19,San Diego Padres,4,7,San Francisco Giants
717681,2023-06-20,Kansas City Royals,1,0,Detroit Tigers
717687,2023-06-20,Baltimore Orioles,8,6,Tampa Bay Rays
717689,2023-06-20,Atlanta Braves,4,2,Philadelphia Phillies
717690,2023-06-20,Toronto Blue Jays,2,0,Miami Marlins
717686,2023-06-20,Chicago Cubs,4,0,Pittsburgh Pirates
717691,2023-06-20,St. Louis Cardinals,9,3,Washington Nationals
717684,2023-06-20,Seattle Mariners,1,3,New York Yankees
717685,2023-06-20,Colorado Rockies,6,8,Cincinnati Reds
717679,2023-06-20,Oakland Athletics,2,3,Cleveland Guardians
717683,2023-06-20,Boston Red Sox,10,4,Minnesota Twins
717682,2023-06-20,New York Mets,2,4,Houston Astros
717675,2023-06-20,Texas Rangers,6,7,Chicago White Sox
717680,2023-06-20,Arizona Diamondbacks,5,7,Milwaukee Brewers
717688,2023-06-20,San Diego Padres,3,4,San Francisco Giants
717678,2023-06-20,Los Angeles Dodgers,2,0,Los Angeles Angels
717677,2023-06-21,Baltimore Orioles,2,7,Tampa Bay Rays
717676,2023-06-21,Toronto Blue Jays,6,3,Miami Marlins
717669,2023-06-21,Colorado Rockies,3,5,Cincinnati Reds
717671,2023-06-21,Chicago Cubs,8,3,Pittsburgh Pirates
717668,2023-06-21,Kansas City Royals,4,9,Detroit Tigers
717670,2023-06-21,New York Mets,8,10,Houston Astros
717672,2023-06-21,Arizona Diamondbacks,5,1,Milwaukee Brewers
717673,2023-06-21,St. Louis Cardinals,0,3,Washington Nationals
717666,2023-06-21,Seattle Mariners,2,4,New York Yankees
717663,2023-06-21,Oakland Athletics,6,7,Cleveland Guardians
717665,2023-06-21,Boston Red Sox,4,5,Minnesota Twins
717667,2023-06-21,Texas Rangers,6,3,Chicago White Sox
717662,2023-06-21,Los Angeles Dodgers,2,0,Los Angeles Angels
717674,2023-06-21,San Diego Padres,2,4,San Francisco Giants
717847,2023-06-22,Arizona Diamondbacks,5,3,Washington Nationals
717657,2023-06-22,Atlanta Braves,5,1,Philadelphia Phillies
717660,2023-06-22,Oakland Athletics,1,6,Cleveland Guardians
717658,2023-06-22,Boston Red Sox,0,6,Minnesota Twins
717661,2023-06-22,San Diego Padres,10,0,San Francisco Giants
717659,2023-06-22,Kansas City Royals,6,5,Tampa Bay Rays
717654,2023-06-22,Pittsburgh Pirates,4,6,Miami Marlins
717652,2023-06-22,Seattle Mariners,10,2,New York Yankees
717649,2023-06-23,Kansas City Royals,3,11,Tampa Bay Rays
717647,2023-06-23,Minnesota Twins,4,1,Detroit Tigers
717650,2023-06-23,Atlanta Braves,10,11,Cincinnati Reds
717653,2023-06-23,Pittsburgh Pirates,3,1,Miami Marlins
717651,2023-06-23,Seattle Mariners,13,1,Baltimore Orioles
717656,2023-06-23,New York Mets,1,5,Philadelphia Phillies
717655,2023-06-23,Texas Rangers,4,2,New York Yankees
717646,2023-06-23,Oakland Athletics,5,4,Toronto Blue Jays
717648,2023-06-23,Milwaukee Brewers,7,1,Cleveland Guardians
717645,2023-06-23,Boston Red Sox,3,1,Chicago White Sox
717644,2023-06-23,Los Angeles Angels,4,7,Colorado Rockies
717642,2023-06-23,Washington Nationals,3,13,San Diego Padres
717643,2023-06-23,Houston Astros,2,3,Los Angeles Dodgers
717641,2023-06-23,Arizona Diamondbacks,5,8,San Francisco Giants
717637,2023-06-24,Chicago Cubs,9,1,St. Louis Cardinals
717628,2023-06-24,Seattle Mariners,4,6,Baltimore Orioles
717639,2023-06-24,Arizona Diamondbacks,6,7,San Francisco Giants
717635,2023-06-24,New York Mets,4,2,Philadelphia Phillies
717636,2023-06-24,Texas Rangers,0,1,New York Yankees
717634,2023-06-24,Oakland Athletics,3,7,Toronto Blue Jays
717632,2023-06-24,Kansas City Royals,9,4,Tampa Bay Rays
717631,2023-06-24,Atlanta Braves,7,6,Cincinnati Reds
717629,2023-06-24,Boston Red Sox,4,5,Chicago White Sox
717630,2023-06-24,Pittsburgh Pirates,3,4,Miami Marlins
717625,2023-06-24,Milwaukee Brewers,2,4,Cleveland Guardians
717626,2023-06-24,Houston Astros,7,8,Los Angeles Dodgers
717633,2023-06-24,Minnesota Twins,2,3,Detroit Tigers
717638,2023-06-24,Washington Nationals,2,0,San Diego Padres
717640,2023-06-24,Los Angeles Angels,25,1,Colorado Rockies
717623,2023-06-25,Chicago Cubs,5,7,St. Louis Cardinals
717621,2023-06-25,Minnesota Twins,6,3,Detroit Tigers
717627,2023-06-25,Seattle Mariners,2,3,Baltimore Orioles
717624,2023-06-25,New York Mets,6,7,Philadelphia Phillies
717622,2023-06-25,Texas Rangers,3,5,New York Yankees
717617,2023-06-25,Oakland Athletics,1,12,Toronto Blue Jays
717619,2023-06-25,Kansas City Royals,1,3,Tampa Bay Rays
717618,2023-06-25,Atlanta Braves,7,6,Cincinnati Reds
717620,2023-06-25,Pittsburgh Pirates,0,2,Miami Marlins
717613,2023-06-25,Milwaukee Brewers,5,4,Cleveland Guardians
717614,2023-06-25,Boston Red Sox,1,4,Chicago White Sox
717616,2023-06-25,Los Angeles Angels,3,4,Colorado Rockies
717612,2023-06-25,Arizona Diamondbacks,5,2,San Francisco Giants
717610,2023-06-25,Washington Nationals,8,3,San Diego Padres
717615,2023-06-25,Houston Astros,6,5,Los Angeles Dodgers
717611,2023-06-26,Cincinnati Reds,3,10,Baltimore Orioles
717607,2023-06-26,Milwaukee Brewers,2,1,New York Mets
717609,2023-06-26,Minnesota Twins,1,4,Atlanta Braves
717606,2023-06-26,Detroit Tigers,7,2,Texas Rangers
717608,2023-06-26,Chicago White Sox,1,2,Los Angeles Angels
717602,2023-06-26,Washington Nationals,4,8,Seattle Mariners
717601,2023-06-27,Cincinnati Reds,3,1,Baltimore Orioles
717603,2023-06-27,San Diego Padres,4,9,Pittsburgh Pirates
717604,2023-06-27,San Francisco Giants,3,0,Toronto Blue Jays
717605,2023-06-27,Miami Marlins,10,1,Boston Red Sox
717597,2023-06-27,Milwaukee Brewers,2,7,New York Mets
717600,2023-06-27,Minnesota Twins,2,6,Atlanta Braves
717598,2023-06-27,Houston Astros,2,4,St. Louis Cardinals
717599,2023-06-27,Detroit Tigers,3,8,Texas Rangers
717596,2023-06-27,Philadelphia Phillies,5,1,Chicago Cubs
717591,2023-06-27,Cleveland Guardians,2,1,Kansas City Royals
717594,2023-06-27,Los Angeles Dodgers,5,0,Colorado Rockies
717592,2023-06-27,Chicago White Sox,2,4,Los Angeles Angels
717590,2023-06-27,Washington Nationals,7,4,Seattle Mariners
717593,2023-06-27,Tampa Bay Rays,4,8,Arizona Diamondbacks
717595,2023-06-27,New York Yankees,1,2,Oakland Athletics
717588,2023-06-28,Minnesota Twins,0,3,Atlanta Braves
717587,2023-06-28,Washington Nationals,4,1,Seattle Mariners
717589,2023-06-28,Cincinnati Reds,11,7,Baltimore Orioles
717585,2023-06-28,San Diego Padres,1,7,Pittsburgh Pirates
717586,2023-06-28,San Francisco Giants,1,6,Toronto Blue Jays
717583,2023-06-28,Miami Marlins,6,2,Boston Red Sox
717581,2023-06-28,Milwaukee Brewers,5,2,New York Mets
717582,2023-06-28,Houston Astros,10,7,St. Louis Cardinals
717580,2023-06-28,Detroit Tigers,2,10,Texas Rangers
717584,2023-06-28,Philadelphia Phillies,8,5,Chicago Cubs
717577,2023-06-28,Cleveland Guardians,14,1,Kansas City Royals
717578,2023-06-28,Los Angeles Dodgers,8,9,Colorado Rockies
717576,2023-06-28,Chicago White Sox,11,5,Los Angeles Angels
717575,2023-06-28,Tampa Bay Rays,3,2,Arizona Diamondbacks
717579,2023-06-28,New York Yankees,11,0,Oakland Athletics
717571,2023-06-29,San Diego Padres,4,5,Pittsburgh Pirates
717570,2023-06-29,Detroit Tigers,8,5,Texas Rangers
717573,2023-06-29,Cleveland Guardians,3,4,Kansas City Royals
717574,2023-06-29,New York Yankees,10,4,Oakland Athletics
717568,2023-06-29,Tampa Bay Rays,6,1,Arizona Diamondbacks
717560,2023-06-29,Chicago White Sox,9,7,Los Angeles Angels
717569,2023-06-29,Miami Marlins,2,0,Boston Red Sox
717564,2023-06-29,San Francisco Giants,1,2,Toronto Blue Jays
717565,2023-06-29,Milwaukee Brewers,3,2,New York Mets
717566,2023-06-29,Houston Astros,14,0,St. Louis Cardinals
717567,2023-06-29,Philadelphia Phillies,3,1,Chicago Cubs
717572,2023-06-29,Los Angeles Dodgers,14,3,Colorado Rockies
717559,2023-06-30,Cleveland Guardians,1,10,Chicago Cubs
717557,2023-06-30,San Diego Padres,5,7,Cincinnati Reds
717563,2023-06-30,Washington Nationals,2,1,Philadelphia Phillies
717561,2023-06-30,Minnesota Twins,8,1,Baltimore Orioles
717562,2023-06-30,Milwaukee Brewers,7,8,Pittsburgh Pirates
717555,2023-06-30,Boston Red Sox,5,0,Toronto Blue Jays
717556,2023-06-30,San Francisco Giants,5,4,New York Mets
717558,2023-06-30,Miami Marlins,4,16,Atlanta Braves
717554,2023-06-30,Houston Astros,5,3,Texas Rangers
717552,2023-06-30,Detroit Tigers,5,8,Colorado Rockies
717553,2023-06-30,Los Angeles Dodgers,9,3,Kansas City Royals
717549,2023-06-30,Arizona Diamondbacks,6,2,Los Angeles Angels
717551,2023-06-30,Chicago White Sox,4,7,Oakland Athletics
717548,2023-06-30,Tampa Bay Rays,15,4,Seattle Mariners
717539,2023-07-01,San Diego Padres,12,5,Cincinnati Reds
717545,2023-07-01,New York Yankees,4,11,St. Louis Cardinals
717550,2023-07-01,New York Yankees,6,2,St. Louis Cardinals
717547,2023-07-01,Boston Red Sox,7,6,Toronto Blue Jays
717542,2023-07-01,Houston Astros,2,5,Texas Rangers
717541,2023-07-01,Minnesota Twins,1,0,Baltimore Orioles
717543,2023-07-01,Washington Nationals,4,19,Philadelphia Phillies
717540,2023-07-01,Milwaukee Brewers,11,8,Pittsburgh Pirates
717538,2023-07-01,Chicago White Sox,6,7,Oakland Athletics
717535,2023-07-01,San Francisco Giants,1,4,New York Mets
717536,2023-07-01,Miami Marlins,0,7,Atlanta Braves
717546,2023-07-01,Cleveland Guardians,6,0,Chicago Cubs
717537,2023-07-01,Los Angeles Dodgers,4,6,Kansas City Royals
717534,2023-07-01,Tampa Bay Rays,3,8,Seattle Mariners
717544,2023-07-01,Detroit Tigers,4,2,Colorado Rockies
717533,2023-07-01,Arizona Diamondbacks,3,1,Los Angeles Angels
717529,2023-07-02,Minnesota Twins,1,2,Baltimore Orioles
717528,2023-07-02,Washington Nationals,5,4,Philadelphia Phillies
717532,2023-07-02,Miami Marlins,3,6,Atlanta Braves
717531,2023-07-02,Milwaukee Brewers,6,3,Pittsburgh Pirates
717530,2023-07-02,Boston Red Sox,5,4,Toronto Blue Jays
717526,2023-07-02,San Diego Padres,3,4,Cincinnati Reds
717527,2023-07-02,Los Angeles Dodgers,1,9,Kansas City Royals
717524,2023-07-02,New York Yankees,1,5,St. Louis Cardinals
717520,2023-07-02,Houston Astros,5,3,Texas Rangers
717523,2023-07-02,Detroit Tigers,14,9,Colorado Rockies
717522,2023-07-02,Arizona Diamondbacks,2,5,Los Angeles Angels
717518,2023-07-02,Chicago White Sox,8,7,Oakland Athletics
717519,2023-07-02,Tampa Bay Rays,6,7,Seattle Mariners
717521,2023-07-02,Cleveland Guardians,8,6,Chicago Cubs
717525,2023-07-02,San Francisco Giants,4,8,New York Mets
717514,2023-07-03,Houston Astros,12,11,Texas Rangers
717511,2023-07-03,Chicago Cubs,6,8,Milwaukee Brewers
717517,2023-07-03,Cincinnati Reds,3,2,Washington Nationals
717515,2023-07-03,St. Louis Cardinals,4,5,Miami Marlins
717513,2023-07-03,Baltimore Orioles,3,6,New York Yankees
717512,2023-07-03,Atlanta Braves,4,2,Cleveland Guardians
717510,2023-07-03,Kansas City Royals,4,8,Minnesota Twins
717505,2023-07-03,Los Angeles Angels,3,10,San Diego Padres
717516,2023-07-03,Seattle Mariners,6,5,San Francisco Giants
717506,2023-07-03,Pittsburgh Pirates,2,5,Los Angeles Dodgers
717507,2023-07-04,Cincinnati Reds,8,4,Washington Nationals
717508,2023-07-04,Baltimore Orioles,4,8,New York Yankees
717502,2023-07-04,St. Louis Cardinals,2,15,Miami Marlins
717501,2023-07-04,Texas Rangers,6,2,Boston Red Sox
717500,2023-07-04,Kansas City Royals,3,9,Minnesota Twins
717504,2023-07-04,Colorado Rockies,1,4,Houston Astros
717498,2023-07-04,New York Mets,8,5,Arizona Diamondbacks
717499,2023-07-04,Philadelphia Phillies,3,1,Tampa Bay Rays
717503,2023-07-04,Chicago Cubs,7,6,Milwaukee Brewers
717509,2023-07-04,Seattle Mariners,6,0,San Francisco Giants
717494,2023-07-04,Oakland Athletics,1,0,Detroit Tigers
717497,2023-07-04,Los Angeles Angels,5,8,San Diego Padres
717495,2023-07-04,Atlanta Braves,5,6,Cleveland Guardians
717496,2023-07-04,Toronto Blue Jays,4,3,Chicago White Sox
717492,2023-07-04,Pittsburgh Pirates,9,7,Los Angeles Dodgers
717489,2023-07-05,Colorado Rockies,4,6,Houston Astros
717485,2023-07-05,Oakland Athletics,12,3,Detroit Tigers
717491,2023-07-05,Philadelphia Phillies,8,4,Tampa Bay Rays
717488,2023-07-05,St. Louis Cardinals,9,10,Miami Marlins
717493,2023-07-05,Cincinnati Reds,9,2,Washington Nationals
717487,2023-07-05,Baltimore Orioles,6,3,New York Yankees
717484,2023-07-05,Texas Rangers,2,4,Boston Red Sox
717486,2023-07-05,Atlanta Braves,8,1,Cleveland Guardians
717482,2023-07-05,Kansas City Royals,0,5,Minnesota Twins
717483,2023-07-05,Chicago Cubs,4,3,Milwaukee Brewers
717478,2023-07-05,Los Angeles Angels,3,5,San Diego Padres
717490,2023-07-05,Seattle Mariners,0,2,San Francisco Giants
717477,2023-07-05,New York Mets,2,1,Arizona Diamondbacks
717479,2023-07-05,Pittsburgh Pirates,4,6,Los Angeles Dodgers
717481,2023-07-06,Cincinnati Reds,5,4,Washington Nationals
717476,2023-07-06,Oakland Athletics,0,9,Detroit Tigers
717474,2023-07-06,Chicago Cubs,5,6,Milwaukee Brewers
717468,2023-07-06,Toronto Blue Jays,6,2,Chicago White Sox
717480,2023-07-06,Toronto Blue Jays,5,4,Chicago White Sox
717472,2023-07-06,Philadelphia Phillies,3,1,Tampa Bay Rays
717473,2023-07-06,St. Louis Cardinals,3,0,Miami Marlins
717475,2023-07-06,Baltimore Orioles,14,1,New York Yankees
717469,2023-07-06,Kansas City Royals,1,6,Cleveland Guardians
717471,2023-07-06,Texas Rangers,6,10,Boston Red Sox
717467,2023-07-06,Seattle Mariners,5,1,Houston Astros
717470,2023-07-06,New York Mets,9,0,Arizona Diamondbacks
717462,2023-07-06,Pittsburgh Pirates,2,5,Los Angeles Dodgers
717457,2023-07-07,Toronto Blue Jays,12,2,Detroit Tigers
717460,2023-07-07,Atlanta Braves,2,1,Tampa Bay Rays
717466,2023-07-07,Philadelphia Phillies,4,3,Miami Marlins
717465,2023-07-07,Texas Rangers,7,2,Washington Nationals
717464,2023-07-07,Chicago Cubs,3,0,New York Yankees
717463,2023-07-07,Kansas City Royals,0,3,Cleveland Guardians
717461,2023-07-07,Oakland Athletics,3,7,Boston Red Sox
717453,2023-07-07,Seattle Mariners,10,1,Houston Astros
717458,2023-07-07,Baltimore Orioles,3,1,Minnesota Twins
717455,2023-07-07,St. Louis Cardinals,7,8,Chicago White Sox
717459,2023-07-07,Cincinnati Reds,3,7,Milwaukee Brewers
717452,2023-07-07,Pittsburgh Pirates,3,7,Arizona Diamondbacks
717454,2023-07-07,New York Mets,7,5,San Diego Padres
717456,2023-07-07,Los Angeles Angels,4,11,Los Angeles Dodgers
717448,2023-07-07,Colorado Rockies,5,2,San Francisco Giants
717447,2023-07-08,Chicago Cubs,3,6,New York Yankees
717442,2023-07-08,Toronto Blue Jays,0,2,Detroit Tigers
717446,2023-07-08,Baltimore Orioles,6,2,Minnesota Twins
717445,2023-07-08,St. Louis Cardinals,3,0,Chicago White Sox
717451,2023-07-08,Colorado Rockies,3,5,San Francisco Giants
717450,2023-07-08,Texas Rangers,3,8,Washington Nationals
717443,2023-07-08,Kansas City Royals,6,10,Cleveland Guardians
717449,2023-07-08,Oakland Athletics,3,10,Boston Red Sox
717439,2023-07-08,Pittsburgh Pirates,2,3,Arizona Diamondbacks
717438,2023-07-08,Philadelphia Phillies,3,5,Miami Marlins
717444,2023-07-08,Cincinnati Reds,8,5,Milwaukee Brewers
717440,2023-07-08,Seattle Mariners,2,3,Houston Astros
717441,2023-07-08,Atlanta Braves,6,1,Tampa Bay Rays
717437,2023-07-08,Los Angeles Angels,5,10,Los Angeles Dodgers
717436,2023-07-08,New York Mets,1,3,San Diego Padres
717432,2023-07-09,Texas Rangers,2,7,Washington Nationals
717435,2023-07-09,Oakland Athletics,3,4,Boston Red Sox
717433,2023-07-09,Chicago Cubs,7,4,New York Yankees
717434,2023-07-09,Kansas City Royals,4,1,Cleveland Guardians
717431,2023-07-09,Toronto Blue Jays,4,3,Detroit Tigers
717429,2023-07-09,Atlanta Braves,4,10,Tampa Bay Rays
717426,2023-07-09,Philadelphia Phillies,3,7,Miami Marlins
717430,2023-07-09,Seattle Mariners,3,1,Houston Astros
717428,2023-07-09,Baltimore Orioles,15,2,Minnesota Twins
717424,2023-07-09,St. Louis Cardinals,4,3,Chicago White Sox
717427,2023-07-09,Cincinnati Reds,0,1,Milwaukee Brewers
717422,2023-07-09,Colorado Rockies,0,1,San Francisco Giants
717425,2023-07-09,Pittsburgh Pirates,4,2,Arizona Diamondbacks
717423,2023-07-09,New York Mets,2,6,San Diego Padres
717418,2023-07-14,San Diego Padres,8,3,Philadelphia Phillies
717416,2023-07-14,San Francisco Giants,6,4,Pittsburgh Pirates
717407,2023-07-14,Washington Nationals,7,5,St. Louis Cardinals
717417,2023-07-14,Miami Marlins,2,5,Baltimore Orioles
717420,2023-07-14,Arizona Diamondbacks,2,7,Toronto Blue Jays
717413,2023-07-14,Los Angeles Dodgers,6,0,New York Mets
717412,2023-07-14,Milwaukee Brewers,1,0,Cincinnati Reds
717414,2023-07-14,Chicago White Sox,0,9,Atlanta Braves
717419,2023-07-14,Boston Red Sox,8,3,Chicago Cubs
717415,2023-07-14,Cleveland Guardians,4,12,Texas Rangers
717410,2023-07-14,New York Yankees,2,7,Colorado Rockies
717405,2023-07-14,Houston Astros,7,5,Los Angeles Angels
717409,2023-07-14,Minnesota Twins,5,4,Oakland Athletics
717406,2023-07-14,Detroit Tigers,5,4,Seattle Mariners
717408,2023-07-15,San Diego Padres,4,6,Philadelphia Phillies
717397,2023-07-15,San Diego Padres,4,9,Philadelphia Phillies
717411,2023-07-15,Tampa Bay Rays,6,1,Kansas City Royals
717393,2023-07-15,Tampa Bay Rays,4,2,Kansas City Royals
717407,2023-07-14,Washington Nationals,7,5,St. Louis Cardinals
717403,2023-07-15,Boston Red Sox,4,10,Chicago Cubs
717404,2023-07-15,Arizona Diamondbacks,2,5,Toronto Blue Jays
717402,2023-07-15,Cleveland Guardians,0,2,Texas Rangers
717398,2023-07-15,San Francisco Giants,3,1,Pittsburgh Pirates
717401,2023-07-15,Miami Marlins,5,6,Baltimore Orioles
717399,2023-07-15,Minnesota Twins,10,7,Oakland Athletics
717392,2023-07-15,Milwaukee Brewers,3,0,Cincinnati Reds
717400,2023-07-15,Los Angeles Dodgers,5,1,New York Mets
717396,2023-07-15,Washington Nationals,6,9,St. Louis Cardinals
717395,2023-07-15,Chicago White Sox,6,5,Atlanta Braves
717394,2023-07-15,New York Yankees,6,3,Colorado Rockies
717389,2023-07-15,Houston Astros,12,13,Los Angeles Angels
717390,2023-07-15,Detroit Tigers,6,0,Seattle Mariners
717388,2023-07-16,San Francisco Giants,8,4,Pittsburgh Pirates
717387,2023-07-16,San Diego Padres,6,7,Philadelphia Phillies
717391,2023-07-16,Chicago White Sox,8,1,Atlanta Braves
717384,2023-07-16,Miami Marlins,4,5,Baltimore Orioles
717386,2023-07-16,Arizona Diamondbacks,5,7,Toronto Blue Jays
717383,2023-07-16,Milwaukee Brewers,4,3,Cincinnati Reds
717382,2023-07-16,Tampa Bay Rays,4,8,Kansas City Royals
717380,2023-07-16,Washington Nationals,4,8,St. Louis Cardinals
717376,2023-07-16,Boston Red Sox,11,5,Chicago Cubs
717377,2023-07-16,Cleveland Guardians,5,6,Texas Rangers
717378,2023-07-16,New York Yankees,7,8,Colorado Rockies
717379,2023-07-16,Minnesota Twins,5,4,Oakland Athletics
717373,2023-07-16,Detroit Tigers,0,2,Seattle Mariners
717385,2023-07-16,Los Angeles Dodgers,1,2,New York Mets
717381,2023-07-16,Houston Astros,9,8,Los Angeles Angels
717372,2023-07-17,Los Angeles Dodgers,6,4,Baltimore Orioles
717371,2023-07-17,Cleveland Guardians,11,0,Pittsburgh Pirates
717375,2023-07-17,San Francisco Giants,4,2,Cincinnati Reds
717374,2023-07-17,Miami Marlins,4,6,St. Louis Cardinals
717370,2023-07-17,Washington Nationals,7,5,Chicago Cubs
717367,2023-07-17,Tampa Bay Rays,2,3,Texas Rangers
717368,2023-07-17,Detroit Tigers,3,2,Kansas City Royals
717369,2023-07-17,New York Yankees,3,4,Los Angeles Angels
717366,2023-07-17,Boston Red Sox,7,0,Oakland Athletics
717365,2023-07-17,Minnesota Twins,6,7,Seattle Mariners
717375,2023-07-17,San Francisco Giants,4,2,Cincinnati Reds
717363,2023-07-18,Milwaukee Brewers,3,4,Philadelphia Phillies
717361,2023-07-18,Los Angeles Dodgers,10,3,Baltimore Orioles
717364,2023-07-18,Cleveland Guardians,10,1,Pittsburgh Pirates
717362,2023-07-18,San Diego Padres,9,1,Toronto Blue Jays
717360,2023-07-18,San Francisco Giants,11,10,Cincinnati Reds
717359,2023-07-18,Chicago White Sox,10,11,New York Mets
717358,2023-07-18,Arizona Diamondbacks,16,13,Atlanta Braves
717357,2023-07-18,Miami Marlins,2,5,St. Louis Cardinals
717353,2023-07-18,Washington Nationals,3,17,Chicago Cubs
717354,2023-07-18,Tampa Bay Rays,3,5,Texas Rangers
717356,2023-07-18,Detroit Tigers,10,11,Kansas City Royals
717355,2023-07-18,Houston Astros,3,4,Colorado Rockies
717352,2023-07-18,New York Yankees,1,5,Los Angeles Angels
717349,2023-07-18,Boston Red Sox,0,3,Oakland Athletics
717350,2023-07-18,Minnesota Twins,10,3,Seattle Mariners
717348,2023-07-19,Cleveland Guardians,5,7,Pittsburgh Pirates
717343,2023-07-19,Los Angeles Dodgers,5,8,Baltimore Orioles
717346,2023-07-19,Tampa Bay Rays,1,5,Texas Rangers
717351,2023-07-19,Miami Marlins,4,6,St. Louis Cardinals
